source,target
citric acid,sodium caseinate
citric acid,sodium citrate
citric acid,sodium lactate
citric acid,sodium nitrite
citric acid,sodium phosphates
citric acid,sodium propionate
citric acid,sodium stearoyl lactylate
citric acid,soy flour
citric acid,soy lecithin
citric acid,soy sauce
citric acid,soybean
citric acid,spices
citric acid,starch
citric acid,sucralose
citric acid,sugar
citric acid,thiamine
citric acid,titanium dioxide
citric acid,tocopherols
citric acid,tomato powder
citric acid,tomatoes
citric acid,turmeric
citric acid,vanilla
citric acid,vegetable oil
citric acid,vegetable oils
citric acid,vinegar
citric acid,vitamins
citric acid,water
citric acid,wheat flour
citric acid,wheat gluten
citric acid,whey
citric acid,xanthan gum
citric acid,yeast
cocoa,cocoa
cocoa,coconut
cocoa,corn syrup
cocoa,datem
cocoa,dextrose
cocoa,diglycerides
cocoa,eggs
cocoa,flour
cocoa,folic acid
cocoa,fructose
cocoa,gelatin
cocoa,glycerin
cocoa,gum arabic
cocoa,honey
cocoa,lactose
cocoa,leavening
cocoa,maltodextrin
cocoa,molasses
cocoa,mono diglycerides
cocoa,peanut butter
cocoa,peanuts
cocoa,polysorbate
cocoa,potassium sorbate
cocoa,pyridoxine hydrochloride
cocoa,raisins
cocoa,reduced iron
cocoa,riboflavin
cocoa,rice flour
cocoa,salt
cocoa,sodium phosphates
cocoa,sodium stearoyl lactylate
cocoa,soy lecithin
cocoa,soybean
cocoa,spices
cocoa,starch
cocoa,sugar
cocoa,thiamine
cocoa,vanilla
cocoa,vegetable oil
cocoa,vegetable oils
cocoa,vitamins
cocoa,water
cocoa,wheat flour
cocoa,whey
cocoa,xanthan gum
coconut,corn syrup
coconut,dextrose
coconut,eggs
coconut,flour
coconut,gelatin
coconut,glycerin
coconut,guar gum
coconut,honey
coconut,leavening
coconut,malic acid
coconut,maltodextrin
coconut,milk
coconut,molasses
coconut,salt
coconut,sodium ascorbate
coconut,sodium benzoate
coconut,sodium citrate
coconut,sodium phosphates
coconut,soy lecithin
coconut,starch
coconut,sugar
coconut,vegetable oil
coconut,water
coconut,whey
coconut,xanthan gum
corn,dextrose
corn,garlic
corn,lactic acid
corn,maltodextrin
corn,paprika
corn,sodium acetate
corn,soy lecithin
corn,spices
corn,vinegar
corn syrup,baking powder
corn syrup,carnauba wax
corn syrup,citric acid
corn syrup,corn syrup
corn syrup,datem
corn syrup,dextrose
corn syrup,diglycerides
corn syrup,disodium guanylate
